Algorithm,Size,Time
QuickSortI,100000,0.005527
QuickSortI,100000,0.005544
QuickSortI,100000,0.005533
QuickSortI,100000,0.005531
QuickSortI,100000,0.005539
QuickSortI,100000,0.005533
QuickSortR,1000,0.000070
QuickSortR,1000,0.000064
QuickSortR,1000,0.000057
QuickSortR,1000,0.000061
QuickSortR,1000,0.000049
QuickSortR,1000,0.000047
QuickSortR,1000,0.000045
QuickSortR,1000,0.000045
QuickSortR,1000,0.000044
QuickSortR,1000,0.000043
QuickSortR,1000,0.000043
QuickSortR,1000,0.000042
QuickSortR,1000,0.000041
QuickSortR,1000,0.000041
QuickSortR,1000,0.000040
QuickSortR,1000,0.000041
QuickSortR,1000,0.000041
QuickSortR,1000,0.000041
QuickSortR,1000,0.000040
QuickSortR,1000,0.000045
QuickSortR,1000,0.000040
QuickSortR,1000,0.000040
QuickSortR,1000,0.000040
QuickSortR,1000,0.000040
QuickSortR,1000,0.000039
QuickSortR,1000,0.000040
QuickSortR,1000,0.000039
QuickSortR,1000,0.000039
QuickSortR,1000,0.000039
QuickSortR,1000,0.000038
QuickSortR,10000,0.000638
QuickSortR,10000,0.000703
QuickSortR,10000,0.000623
QuickSortR,10000,0.000613
QuickSortR,10000,0.000613
QuickSortR,10000,0.000618
QuickSortR,10000,0.000617
QuickSortR,10000,0.000619
QuickSortR,10000,0.000613
QuickSortR,10000,0.000613
QuickSortR,10000,0.000617
QuickSortR,10000,0.000614
QuickSortR,10000,0.000617
QuickSortR,10000,0.000613
QuickSortR,10000,0.000613
QuickSortR,10000,0.000613
QuickSortR,10000,0.000615
QuickSortR,10000,0.000617
QuickSortR,10000,0.000629
QuickSortR,10000,0.000666
QuickSortR,10000,0.000642
QuickSortR,10000,0.000619
QuickSortR,10000,0.000626
QuickSortR,10000,0.000618
QuickSortR,10000,0.000612
QuickSortR,10000,0.000613
QuickSortR,10000,0.000617
QuickSortR,10000,0.000645
QuickSortR,10000,0.000616
QuickSortR,10000,0.000612
QuickSortR,100000,0.005928
QuickSortR,100000,0.005891
QuickSortR,100000,0.006841
QuickSortR,100000,0.006632
QuickSortR,100000,0.005881
QuickSortR,100000,0.006576
